
Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:49:05 2025
Timers Off: Thu Jul 10 15:49:38 2025

Wall Time:       33.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      3.533u      0.017s      1.903w     31 calls
Libint2ERI::Libint2ERI              :      0.517u      0.017s      0.223w     93 calls
HF: Form core H                     :      0.067u      0.033s      0.032w     31 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     31 calls
HF: Guess                           :      0.950u      0.167s      0.617w     31 calls
SAD Guess                           :      0.867u      0.167s      0.604w     31 calls
HF: Form G                          :      1.333u      0.000s      0.758w    429 calls
JK: D                               :      0.017u      0.000s      0.001w    429 calls
JK: USO2AO                          :      0.067u      0.000s      0.024w    429 calls
JK: JK                              :      1.217u      0.000s      0.668w    429 calls
PK computes JK                      :      1.217u      0.000s      0.667w    429 calls
JK: AO2USO                          :      0.033u      0.000s      0.062w    429 calls
HF: Form F                          :      0.000u      0.000s      0.001w    429 calls
HF: Form D                          :      0.000u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.567u      0.133s      0.457w    398 calls
HF: Form C                          :      0.100u      0.000s      0.055w    398 calls
ccenergy                            :     18.217u     15.550s     20.438w     31 calls
F build                             :      0.767u      0.500s      0.717w    551 calls
Wmbej build                         :      2.050u      2.517s      2.899w    551 calls
C->Wmbej                            :      0.017u      0.367s      0.156w    551 calls
F->Wmbej                            :      0.517u      1.750s      1.308w    551 calls
E->Wmbej                            :      0.150u      0.283s      0.298w    551 calls
X->Wmbej                            :      1.333u      0.083s      1.087w    551 calls
Z                                   :      2.967u      0.150s      1.685w    551 calls
T2 Build                            :      8.900u      5.583s      8.737w    551 calls
BT2                                 :      6.367u      3.217s      5.990w    551 calls
ABCD:new                            :      6.367u      3.217s      5.989w    551 calls
ABCD:S                              :      2.950u      0.167s      1.679w    551 calls
ABCD:A                              :      2.050u      0.267s      1.683w    551 calls
ABCD:axpy                           :      1.283u      2.667s      2.375w    551 calls
FT2                                 :      0.133u      0.317s      0.258w    551 calls
WmbejT2                             :      1.333u      0.567s      1.080w    551 calls
